symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
ADRO,Other,8805880000.0,3219350750.0,5586529250.0,5286878750.0,0.0,1303734000.0,0.0,85922500.0,0.5762702755024498,0.36559103122004805,0.2333710147494525,0.1480526648103311,0.24659805182783842,15.17337135208878,0.0,0.36559103122004805,0.0,0.01625202772051465,13
AGII,Other,7776015333333.333,4222335333333.3335,3553680000000.0,2513152000000.0,0.0,133311000000.0,0.0,348457666666.6667,1.188158566143641,0.542994728319723,0.03751350712500844,0.01714387051534449,0.05304533908016706,0.38257444950271335,0.0,0.542994728319723,0.0,0.13865363760992835,13
AISA,Other,1862386250000.0,1004965000000.0,857421250000.0,1585876750000.0,0.0,291843500000.0,0.0,298082250000.0,1.1720784853419484,0.5396114796272793,0.34037353284631094,0.15670406716114876,0.18402659601384533,0.9790703740326705,0.0,0.5396114796272793,0.0,0.1879605398086579,13
AKPI,Other,3230530554250.0,1680456723250.0,1550073831000.0,2690584030750.0,0.0,94934738500.0,0.0,57290631500.0,1.0841139884065303,0.520179795556874,0.06124530109559665,0.029386732892869992,0.0352840637627426,1.6570726489548293,0.0,0.520179795556874,0.0,0.02129300956418382,13
AKRA,Other,24908597426000.0,12645325007750.0,12263272418250.0,33262484012750.0,0.0,1805054112500.0,0.0,64263616500.0,1.0311542120626331,0.5076690907754847,0.14719187920947985,0.07246711172166824,0.05426696670663851,28.08827468494556,0.0,0.5076690907754847,0.0,0.0019320149534041659,13
ALDO,Other,1371217731792.5,654059534719.25,717158197073.25,1404399600618.0,0.0,48611664034.5,0.0,21804254300.5,0.9120156994488691,0.47699174212416456,0.06778373897542558,0.035451455233847705,0.034613840685449246,2.2294577638174604,0.0,0.47699174212416456,0.0,0.015525676802318323,13
ALMI,Other,81456837.75,62938753.75,18518084.0,76963603.25,0.0,-8181882.75,0.0,2451974.5,3.398772451294962,0.7726638485913022,-0.44183203564664586,-0.10044439455297902,-0.10630846795753338,-3.3368547470484016,0.0,0.7726638485913022,0.0,0.0318588838939227,13
AMAN,Other,928208991750.0,285163007500.0,643045984250.0,126589642250.0,0.0,36106785500.0,0.0,8908153000.0,0.4434566337158492,0.30721853594885734,0.05614961664384268,0.03889941362443174,0.2852270127179382,4.053229159849406,0.0,0.30721853594885734,0.0,0.0703703149931289,13
AMFG,Other,7583079250000.0,4037050500000.0,3546028750000.0,5000315000000.0,0.0,227088000000.0,0.0,108955750000.0,1.1384708880321401,0.5323761452183161,0.06404008991748868,0.029946673707781705,0.0454147388714511,2.0842222645431745,0.0,0.5323761452183161,0.0,0.021789777244033626,13
AMMN,Other,6389387750.0,3165750750.0,3223637000.0,1791413250.0,0.0,437248750.0,0.0,144868750.0,0.9820431860038802,0.4954701254435521,0.13563833334832634,0.06843359130927676,0.2440803371304737,3.0182406488629865,0.0,0.4954701254435521,0.0,0.0808684149232452,13
AMOR,Other,370743645751.25,71295190388.75,299448455362.5,333323241856.25,0.0,97558448453.75,0.0,878092691.75,0.2380883558155041,0.192303202511488,0.3257937942463245,0.26314260425438746,0.2926842062091288,111.10267671095087,0.0,0.192303202511488,0.0,0.00263435782893498,13
AMRT,Other,29583350500000.0,18523349750000.0,11060000750000.0,91150137500000.0,0.0,2311572750000.0,0.0,262371750000.0,1.6748054696108408,0.626141036661821,0.2090029469482631,0.07813762508070207,0.02536005773990193,8.810295887419281,0.0,0.626141036661821,0.0,0.0028784569853227047,13
ANDI,Other,446062764366.25,215717189776.25,230345574590.0,286094367459.25,0.0,-20009631489.5,0.0,15302444777.0,0.9364937449317723,0.4836027729925704,-0.0868678789471681,-0.044858331804334683,-0.06994066911278875,-1.3076101094365666,0.0,0.4836027729925704,0.0,0.053487403170143194,13
ANJT,Other,623401620.0,206730620.5,416670999.5,234290497.75,0.0,15923854.75,0.0,5640576.0,0.4961483298527356,0.3316170729553072,0.0382168539905778,0.025543492732662043,0.0679662850304364,2.8230901861745625,0.0,0.3316170729553072,0.0,0.024075137720773222,13
ANTM,Other,35283566750000.0,11594997500000.0,23688569250000.0,38199026250000.0,0.0,2477426750000.0,0.0,258432500000.0,0.4894764803070578,0.3286231684612781,0.10458321580565698,0.07021474805973237,0.0648557566307073,9.58635910731042,0.0,0.3286231684612781,0.0,0.006765421147351891,13
APEX,Other,303556381.25,206240633.25,97315748.0,65793710.5,0.0,-4480221.5,0.0,6551558.25,2.1192935109534257,0.6794145865118202,-0.04603799068573711,-0.014759108280151999,-0.06809498151041837,-0.6838405962418425,0.0,0.6794145865118202,0.0,0.09957727266345624,13
APIC,Other,6098239594537.75,3904165930314.75,2194073664223.0,2185941349332.25,0.0,114492045837.25,0.0,176598759635.5,1.7794142439138911,0.6402119611390389,0.0521824074114648,0.018774606025614603,0.052376540602164116,0.6483173838455133,0.0,0.6402119611390389,0.0,0.08078842540283455,13
APLN,Other,29236951125500.0,17282959055500.0,11953992070000.0,5638261732000.0,0.0,572609842000.0,0.0,709394038500.0,1.4457897373776658,0.5911341090701513,0.04790113952284059,0.019585142087561205,0.10155786822561787,0.8071816380227447,0.0,0.5911341090701513,0.0,0.12581786235176498,13
ARCI,Other,702832578.5,493503711.75,209328866.75,301330270.0,0.0,56907434.25,0.0,21141559.5,2.357552111240178,0.7021639674177297,0.2718566012109616,0.08096869153597323,0.18885402468858542,2.691733041262783,0.0,0.7021639674177297,0.0,0.07016075583776996,13
ARGO,Other,1118603103410.75,2067071118292.0,-948468014881.25,80713055830.28722,0.0,-59284756249.86936,0.0,31712624335.47345,-2.179378836038874,1.8479039723645156,0.06250580443378675,-0.052998919875247345,-0.7345125970019711,-1.8694370930239903,0.0,1.8479039723645156,0.0,0.3929057574298088,13
ARII,Other,426686750.0,374541000.0,52145750.0,171023500.0,0.0,1739000.0,0.0,4211250.0,7.182579596610044,0.8777891509403355,0.0333488347564215,0.00407558941073272,0.01016819325998999,0.41294152567429404,0.0,0.8777891509403355,0.0,0.02462380900870204,13
ARKO,Other,838696143540.25,556279183720.75,282416959819.5,169290578127.5,0.0,29516329135.25,0.0,47407111102.75,1.9697088449513884,0.66326665265518,0.10451330243804993,0.03519311417202609,0.17435305296801565,0.6226139591437329,0.0,0.66326665265518,0.0,0.28003396070303255,13
ARNA,Other,2353305908813.0,711726321897.25,1641579586915.75,2450182977633.5,0.0,453855120638.0,0.0,5049341612.0,0.4335618739231908,0.30243680570038706,0.276474637145505,0.1928585310300449,0.1852331539240201,89.88401964315327,0.0,0.30243680570038706,0.0,0.002060801849532433,13
ARTI,Other,767840789721.3334,840709478821.3334,-72868689100.0,37374040731.66666,0.0,-317910056065.0,0.0,18450839953.666668,-11.537321299517293,1.094900779009729,4.362779953797743,-0.41403121626343486,-8.50617299712091,-17.2301129305402,0.0,1.094900779009729,0.0,0.49368062945448254,13
ASII,Other,391122500000000.0,164820750000000.0,226301750000000.0,256618750000000.0,0.0,24785750000000.0,0.0,2728750000000.0,0.7283229139854199,0.4214044193315393,0.10952522461713177,0.06337081093519294,0.09658588859933266,9.08318827301878,0.0,0.4214044193315393,0.0,0.010633478652670548,13
