symbol,sector,sector_compliant,financial_compliant,shariah_compliant,debt_to_assets_ok,interest_income_ok,interest_bearing_debt_ok,profitability_ok,equity_ok,debt_to_assets_value,interest_income_value,interest_bearing_debt_value,roa_value,equity_ratio_value
BMSR,Other,1,0,0,True,True,False,True,True,0.2161762287809809,0.0026471007887658,1.0,0.1520790988576836,0.4058810441144421
BMTR,Other,1,0,0,True,True,False,True,True,0.2479677930125352,0.0034086119195967,0.9927978255241632,0.0340161540207542,0.697203915953696
BNBR,Other,1,0,0,True,True,False,True,True,0.1599028831971667,0.0030000971016307,0.9960925481687776,-0.0067366583994413,0.1288633090281545
BOLA,Other,1,0,0,True,True,,True,True,0.0206222481893166,0.0341444925456482,,0.069138116131774,0.902641089219284
BOLT,Other,1,1,1,True,True,True,True,True,0.229455717702873,0.0002107788462877,0.9096358180688232,0.023346073072835,0.6078929530977537
BOSS,Other,1,0,0,True,,True,False,True,0.3675959576249286,,0.7236518435391798,-0.1210369248179331,-0.0156211484373609
BPII,Other,1,1,1,True,True,True,True,True,0.2825025661176495,0.0216794617423698,0.5236602217768931,0.070820621524821,0.449069956494613
BRAM,Other,1,1,1,True,True,True,True,True,0.0513761075178031,0.001679378594212,0.9146933031744112,0.0597980094345601,0.7580744523300167
BREN,Other,1,0,0,True,True,False,True,True,0.530090662191334,0.0064488496537128,0.9978389155485936,0.02547097857124,0.2127259763765439
BRMS,Other,1,0,0,True,True,False,True,True,0.0413667277968826,0.0206879203391647,0.9999999999999998,0.0327433586580203,0.8764084695990216
BRNA,Other,1,1,1,True,True,True,True,True,0.4039057277593073,0.0002184611095975,0.9098676441852148,-0.0833117652041295,0.3989977808696581
BRPT,Other,1,0,0,True,True,False,True,True,0.3914207514627575,0.0129087275392341,0.9967646791799588,0.0049371870715026,0.4147617002026976
BSBK,Other,1,0,0,True,True,False,True,True,0.2695480792582873,0.0005839888189225,0.998624292621676,0.0965391585099003,0.5280481174087451
BSDE,Real Estate,1,0,0,True,True,False,True,True,0.2082417582131893,0.0533062553118093,0.9975536478441424,0.0236423732515698,0.5886529110795367
BSSR,Other,1,0,0,True,True,False,True,True,0.0260026003214761,0.001423075960509,0.9760704885069144,0.4218724745930264,0.5991943042454807
BTEK,Other,1,0,0,True,,,True,True,0.5444856606904187,,,-0.0520373417027444,0.3334657646648905
BTEL,Other,1,0,0,False,True,,False,False,128.79638388104505,0.0119279256450401,,-5.345765196600288,-399.5927677620901
BUDI,Other,1,0,0,True,True,False,True,True,0.3898951991383336,0.0003241751314257,1.0,0.026934458803945,0.4612574433752816
BUKA,Other,1,0,0,True,False,,True,True,0.0269101579123104,0.1422556651903607,,-0.0290514339735247,0.9298322935030904
BUKK,Other,1,0,0,True,True,False,True,True,0.2103380477731076,0.0013383891885567,0.9823894458651456,0.0821647282694288,0.5845793174496736
BULL,Other,1,0,0,True,True,False,True,True,0.544386548600534,0.0041933697013531,1.1093977753392696,-0.0953095374402881,0.3335042807403124
BUMI,Mining,1,1,1,True,True,True,True,True,0.2299912426206977,0.0026311974151763,0.793004711442986,0.0240840104159669,0.3899123988669641
BUVA,Other,1,0,0,True,True,False,False,True,0.5314499039424136,0.0846662164853617,1.040579351977457,-0.1807592177652638,0.1683865492319471
BWPT,Construction,1,0,0,True,True,False,True,True,0.5428558352665257,0.0020256917706137,0.9902171522250224,-0.0462517046500871,0.197658259853444
